"Reactive Agent","Reactive Agent"
"-847.0","1173.0"
"-848.0","1172.0"
"-748.0","1171.0"
"-749.0","1170.0"
"-750.0","1169.0"
"-751.0","1168.0"
"-752.0","1167.0"
"-753.0","1166.0"
"-754.0","1165.0"
"-755.0","1164.0"
"-756.0","1163.0"
"-656.0","1162.0"
"-657.0","1161.0"
"-658.0","1160.0"
"-558.0","1159.0"
"-458.0","1158.0"
"-459.0","1157.0"
"-460.0","1156.0"
"-461.0","1155.0"
"-462.0","1154.0"
"-463.0","1153.0"
"-464.0","1152.0"
"-465.0","1151.0"
"-466.0","1150.0"
"-467.0","1149.0"
"-468.0","1148.0"
"-469.0","1147.0"
"-470.0","1146.0"
"-471.0","1145.0"
"-472.0","1144.0"
"-473.0","1143.0"
"-474.0","1142.0"
"-475.0","1141.0"
"-476.0","1140.0"
"-477.0","1139.0"
"-478.0","1138.0"
"-479.0","1137.0"
"-480.0","1136.0"
"-481.0","1135.0"
"-482.0","1134.0"
"-483.0","1133.0"
"-484.0","1132.0"
"-485.0","1131.0"
"-486.0","1130.0"
"-487.0","1129.0"
"-488.0","1128.0"
"-489.0","1127.0"
"-490.0","1126.0"
"-491.0","1125.0"
"-492.0","1124.0"
"-493.0","1123.0"
"-494.0","1122.0"
"-495.0","1121.0"
"-395.0","1120.0"
"-396.0","1119.0"
"-397.0","1118.0"
"-398.0","1117.0"
"-399.0","1116.0"
"-400.0","1115.0"
"-401.0","1114.0"
"-402.0","1113.0"
"-403.0","1112.0"
"-404.0","1111.0"
"-405.0","1110.0"
"-406.0","1109.0"
"-407.0","1108.0"
"-408.0","1107.0"
"-409.0","1106.0"
"-410.0","1105.0"
"-411.0","1104.0"
"-412.0","1103.0"
"-413.0","1102.0"
"-414.0","1101.0"
"-415.0","1100.0"
"-416.0","1099.0"
"-417.0","1098.0"
"-418.0","1097.0"
"-419.0","1096.0"
"-420.0","1095.0"
"-421.0","1094.0"
"-422.0","1093.0"
"-423.0","1092.0"
"-424.0","1091.0"
"-425.0","1090.0"
"-426.0","1089.0"
"-427.0","1088.0"
"-428.0","1087.0"
"-328.0","1086.0"
"-228.0","1085.0"
"-229.0","1084.0"
"-230.0","1083.0"
"-231.0","1082.0"
"-232.0","1081.0"
"-233.0","1080.0"
"-234.0","1079.0"
"-134.0","1078.0"
"-135.0","1077.0"
"-136.0","1076.0"
"-137.0","1075.0"
"-138.0","1074.0"
"-139.0","1073.0"
"-140.0","1072.0"
"-141.0","1071.0"
"-142.0","1070.0"
"-143.0","1069.0"
"-144.0","1068.0"
"-145.0","1067.0"
"-146.0","1066.0"
"-147.0","1065.0"
"-148.0","1064.0"
"-149.0","1063.0"
"-150.0","1062.0"
"-151.0","1061.0"
"-152.0","1060.0"
"-153.0","1059.0"
"-154.0","1058.0"
"-155.0","1057.0"
"-156.0","1056.0"
"-157.0","1055.0"
"-158.0","1054.0"
"-159.0","1053.0"
"-160.0","1052.0"
"-161.0","1051.0"
"-162.0","1050.0"
"-163.0","1049.0"
"-164.0","1048.0"
"-165.0","1047.0"
"-166.0","1046.0"
"-167.0","1045.0"
"-168.0","1044.0"
"-169.0","1043.0"
"-170.0","1042.0"
"-171.0","1041.0"
"-172.0","1040.0"
"-173.0","1039.0"
"-174.0","1038.0"
"-175.0","1037.0"
"-176.0","1036.0"
"-177.0","1035.0"
"-178.0","1034.0"
"-179.0","1033.0"
"-180.0","1032.0"
